시도,업종대분류,사업장수,가입자수,고지금액,신규취득,상실,영세비중,인당보험료,이직률,평균규모,위험점수,체불_전체,체불_2025이후
제주,정보통신업,139,7310,3737376720,124,132,0.3669064748201439,511269.04514363885,0.017510259917920656,52.589928057553955,-0.8066787256964113,0,0
경북,보건사회복지,571,25829,8003162020,654,697,0.010507880910683012,309851.7952688838,0.026152774013705526,45.234676007005255,-0.8067231597581559,0,0
경남,제조업,7905,223273,92393486860,4608,4593,0.21796331435800126,413813.9715057351,0.02060482010811876,28.24452877925364,-0.8108671543843485,28,7
경북,제조업,6780,179775,75645541460,4087,3545,0.22079646017699114,420778.98183840915,0.021226533166458072,26.515486725663717,-0.8222632952024966,20,4
충북,보건사회복지,431,17050,5535972600,519,524,0.009280742459396751,324690.4750733138,0.03058651026392962,39.559164733178655,-0.8229780025355055,0,0
서울,보건사회복지,4129,160451,58003104840,7351,6066,0.007507871155243401,361500.42592442554,0.04181027229496856,38.85953015257932,-0.8412759441925513,0,0
제주,보건사회복지,142,4833,1586269020,129,121,0.035211267605633804,328216.225946617,0.025863852679495137,34.03521126760563,-0.8415684053328278,0,0
경기,전기가스,101,5834,2933438480,176,120,0.297029702970297,502817.7031196435,0.025368529310935892,57.76237623762376,-0.8530671099657389,0,0
서울,제조업,10502,557318,263301858140,8822,10450,0.2954675299942868,472444.561525018,0.01728994936463563,53.067796610169495,-0.8738418447038462,15,6
경북,전기가스,46,13208,7303460560,58,113,0.43478260869565216,552957.3410054513,0.006473349485160509,287.1304347826087,-0.9217798967346967,0,0
대전,전기가스,14,8110,3702441680,220,178,0.21428571428571427,456527.9506781751,0.024537607891491984,579.2857142857143,-0.9308760198729051,0,0
강원,보건사회복지,336,12976,4423765780,433,335,0.005952380952380952,340919.06442663376,0.029593094944512947,38.61904761904762,-0.9321299007795337,2,0
울산,제조업,2264,89927,39892803900,2350,1917,0.19125441696113074,443613.196259188,0.023724799003636284,39.72040636042403,-0.9583399478471103,6,1
인천,금융보험업,193,4212,1963008140,59,69,0.25906735751295334,466051.3152896486,0.015194681861348529,21.82383419689119,-0.9847073543312499,0,0
충남,전기가스,34,7718,4051001700,146,76,0.3235294117647059,524877.1313811869,0.01438196423944027,227.0,-1.0221649980720515,0,0
경기,금융보험업,686,27643,13070509080,311,370,0.2653061224489796,472832.51021958544,0.01231776579965995,40.295918367346935,-1.0365026128076642,0,0
대전,금융보험업,128,3863,1860932000,48,66,0.2265625,481732.3323841574,0.014755371472948486,30.1796875,-1.14009561699521,0,0
제주,금융보험업,94,4812,1969857920,51,92,0.11702127659574468,409363.6575228595,0.014858686616791355,51.191489361702125,-1.1640546805757432,0,0
